,Game,Week,Road Closing Spread,Home Closing Spread
1876,SEA 19 @ MIA 21,10,8,-8
1877,GB 27 @ MIN 28,10,3,-3
1878,BAL 41 @ HOU 13,10,3,-3
1879,CAR 17 @ OAK 6,10,-10,10
1880,KC 19 @ SD 20,10,15,-15
1881,IND 24 @ PIT 20,10,3,-3
1882,NYG 36 @ PHI 31,10,3,-3
1883,SF 24 @ ARI 29,10,10,-10
1884,JAC 28 @ TEN 13,10,5,-5
1885,DEN 27 @ KC 11,10,3,-3
1886,BUF 13 @ MIA 10,10,-3,3
1887,CLE 28 @ PIT 31,10,9,-9
1888,STL 37 @ NO 29,10,10,-10
1889,ATL 20 @ CAR 13,10,3,-3
1890,PHI 33 @ WAS 25,10,3,-3
1891,MIN 0 @ GB 34,10,6,-6
1892,CIN 21 @ BAL 7,10,3,-3
1893,CHI 17 @ OAK 6,10,-4,4
1894,DAL 31 @ NYG 20,10,-2,2
1895,DET 21 @ ARI 31,10,3,-3
1896,IND 21 @ SD 23,10,-4,4
1897,SF 0 @ SEA 24,10,9,-9
1898,PIT 7 @ CLE 21,11,3,-3
1899,ATL 29 @ CAR 3,11,3.5,-3.5
1900,BUF 37 @ MIA 20,11,-7,7
1901,DAL 35 @ DET 27,11,-7.5,7.5
1902,DEN 23 @ MIN 27,11,10,-10
1903,HOU 7 @ BAL 41,11,4,-4
1904,JAC 13 @ IND 33,11,2.5,-2.5
1905,NO 34 @ TB 17,11,-5,5
1906,NYJ 34 @ WAS 17,11,1,-1
1907,ARI 26 @ SF 36,11,10,-10
1908,CIN 10 @ OAK 17,11,13,-13
1909,NE 17 @ PHI 10,11,-4.5,4.5
1910,CHI 7 @ LAR 17,11,5,-5
1911,KC 24 @ LAC 17,11,-5.5,5.5
1912,GB 24 @ SEA 27,11,3,-3
1913,CAR 19 @ DET 20,11,-4,4
1914,CIN 21 @ BAL 24,11,6.5,-6.5
1915,DAL 22 @ ATL 19,11,3.5,-3.5
1916,HOU 23 @ WAS 21,11,-3,3
1917,MIN 20 @ CHI 25,11,2.5,-2.5
1918,PHI 7 @ NO 48,11,7,-7
1919,TB 35 @ NYG 38,11,3,-3
1920,TEN 10 @ IND 38,11,2,-2
1921,DEN 23 @ LAC 22,11,7.5,-7.5
1922,OAK 23 @ ARI 21,11,4.5,-4.5
1923,PIT 20 @ JAC 16,11,-4,4
1924,KC 51 @ LAR 54,11,3,-3
1925,TEN 17 @ PIT 40,11,7,-7
1926,LAR 7 @ MIN 24,11,1,-1
1927,DET 27 @ CHI 24,11,-3,3
1928,KC 9 @ NYG 12,11,-10,10
1929,WAS 31 @ NO 34,11,9.5,-9.5
1930,JAC 19 @ CLE 7,11,-7.5,7.5
1931,BAL 23 @ GB 0,11,-2.5,2.5
1932,ARI 21 @ HOU 31,11,2.5,-2.5
1933,BUF 24 @ LAC 54,11,7,-7
1934,CIN 20 @ DEN 17,11,2.5,-2.5
1935,NE 33 @ OAK 8,11,-7,7
1936,PHI 37 @ DAL 9,11,-6,6
1937,ATL 34 @ SEA 31,11,1,-1
1938,NO 20 @ CAR 23,11,3.5,-3.5
1939,CHI 16 @ NYG 22,11,7,-7
1940,ARI 24 @ MIN 30,11,2,-2
1941,BAL 17 @ DAL 27,11,7,-7
1942,TEN 17 @ IND 24,11,3,-3
1943,BUF 16 @ CIN 12,11,2.5,-2.5
1944,PIT 24 @ CLE 9,11,-8,8
1945,JAC 19 @ DET 26,11,5.5,-5.5
1946,TB 19 @ KC 17,11,7,-7
1947,MIA 14 @ LA 10,11,1,-1
1948,PHI 15 @ SEA 26,11,6.5,-6.5
1949,NE 30 @ SF 17,11,-10.5,10.5
1950,GB 24 @ WAS 42,11,2.5,-2.5
1951,HOU 20 @ OAK 27,11,6.5,-6.5
1952,TEN 13 @ JAC 19,11,3,-3
1953,STL 13 @ BAL 16,11,3,-3
1954,WAS 16 @ CAR 44,11,7,-7
1955,DEN 17 @ CHI 15,11,-2.5,2.5
1956,OAK 13 @ DET 18,11,-2,2
1957,GB 30 @ MIN 13,11,-1,1
1958,IND 24 @ ATL 21,11,3.5,-3.5
